,Store,Date,IsHoliday,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Total_Sales,day,month,year,Type_B,Type_C
20482,3,2010-02-05,0,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999,461622.22000000003,4,2,2010,1,0
20547,3,2010-02-12,1,47.93,2.548,0.0,0.0,0.0,0.0,0.0,214.57479159999997,7.367999999999999,420728.95999999996,4,2,2010,1,0
20611,3,2010-02-19,0,47.07,2.5140000000000002,0.0,0.0,0.0,0.0,0.0,214.61988680000002,7.367999999999999,421642.19,4,2,2010,1,0
20676,3,2010-02-26,0,52.05,2.5610000000000004,0.0,0.0,0.0,0.0,0.0,214.6475127,7.367999999999999,407204.86000000004,4,2,2010,1,0
20739,3,2010-03-05,0,53.04,2.625,0.0,0.0,0.0,0.0,0.0,214.6751386,7.367999999999999,415202.04000000004,4,3,2010,1,0
20802,3,2010-03-12,0,63.08,2.667,0.0,0.0,0.0,0.0,0.0,214.70276459999997,7.367999999999999,384200.69,4,3,2010,1,0
20866,3,2010-03-19,0,60.42,2.72,0.0,0.0,0.0,0.0,0.0,214.5301219,7.367999999999999,375328.58999999997,4,3,2010,1,0
20931,3,2010-03-26,0,57.06,2.7319999999999998,0.0,0.0,0.0,0.0,0.0,214.3241011,7.367999999999999,359949.27,4,3,2010,1,0
20994,3,2010-04-02,0,65.56,2.719,0.0,0.0,0.0,0.0,0.0,214.11808030000003,7.343,423294.4,4,4,2010,1,0
21058,3,2010-04-09,0,68.0,2.77,0.0,0.0,0.0,0.0,0.0,213.91205950000003,7.343,415870.28,4,4,2010,1,0
21122,3,2010-04-16,0,66.98,2.8080000000000003,0.0,0.0,0.0,0.0,0.0,213.7726889,7.343,354993.26,4,4,2010,1,0
21187,3,2010-04-23,0,67.87,2.795,0.0,0.0,0.0,0.0,0.0,213.72218519999998,7.343,339976.65,4,4,2010,1,0
21251,3,2010-04-30,0,70.24,2.78,0.0,0.0,0.0,0.0,0.0,213.6716815,7.343,361248.38999999996,4,4,2010,1,0
21317,3,2010-05-07,0,73.47,2.835,0.0,0.0,0.0,0.0,0.0,213.6211778,7.343,399323.86000000004,4,5,2010,1,0
21380,3,2010-05-14,0,77.18,2.8539999999999996,0.0,0.0,0.0,0.0,0.0,213.6196139,7.343,384357.94000000006,4,5,2010,1,0
21444,3,2010-05-21,0,75.81,2.826,0.0,0.0,0.0,0.0,0.0,213.9116886,7.343,343763.17000000004,4,5,2010,1,0
21506,3,2010-05-28,0,78.6,2.759,0.0,0.0,0.0,0.0,0.0,214.2037634,7.343,350089.2299999999,4,5,2010,1,0
21568,3,2010-06-04,0,78.53,2.705,0.0,0.0,0.0,0.0,0.0,214.49583819999998,7.343,396968.8,4,6,2010,1,0
21630,3,2010-06-11,0,82.1,2.668,0.0,0.0,0.0,0.0,0.0,214.78791299999997,7.343,355017.08999999997,4,6,2010,1,0
21693,3,2010-06-18,0,83.52,2.637,0.0,0.0,0.0,0.0,0.0,214.78582590000002,7.343,364076.85,4,6,2010,1,0
21756,3,2010-06-25,0,83.79,2.653,0.0,0.0,0.0,0.0,0.0,214.6660741,7.343,357346.48000000004,4,6,2010,1,0
21818,3,2010-07-02,0,82.2,2.6689999999999996,0.0,0.0,0.0,0.0,0.0,214.54632220000002,7.346,381151.72000000003,4,7,2010,1,0
21879,3,2010-07-09,0,81.75,2.642,0.0,0.0,0.0,0.0,0.0,214.4265704,7.346,349214.1800000001,4,7,2010,1,0
21942,3,2010-07-16,0,84.32,2.623,0.0,0.0,0.0,0.0,0.0,214.41764759999998,7.346,352728.7799999999,4,7,2010,1,0
22003,3,2010-07-23,0,83.32,2.608,0.0,0.0,0.0,0.0,0.0,214.55649680000005,7.346,352864.49,4,7,2010,1,0
22066,3,2010-07-30,0,82.04,2.64,0.0,0.0,0.0,0.0,0.0,214.695346,7.346,347955.05,4,7,2010,1,0
22129,3,2010-08-06,0,85.13,2.627,0.0,0.0,0.0,0.0,0.0,214.8341952,7.346,402635.76,4,8,2010,1,0
22192,3,2010-08-13,0,86.74,2.6919999999999997,0.0,0.0,0.0,0.0,0.0,214.97304440000002,7.346,339597.37999999995,4,8,2010,1,0
22252,3,2010-08-20,0,88.02,2.6639999999999997,0.0,0.0,0.0,0.0,0.0,214.9314191,7.346,351728.21,4,8,2010,1,0
22314,3,2010-08-27,0,86.15,2.6189999999999998,0.0,0.0,0.0,0.0,0.0,214.8897938,7.346,362134.09,4,8,2010,1,0
22377,3,2010-09-03,0,84.16,2.577,0.0,0.0,0.0,0.0,0.0,214.8481685,7.346,366473.97,4,9,2010,1,0
22440,3,2010-09-10,1,80.84,2.565,0.0,0.0,0.0,0.0,0.0,214.8065431,7.346,352260.9699999999,4,9,2010,1,0
22503,3,2010-09-17,0,82.36,2.582,0.0,0.0,0.0,0.0,0.0,214.83224840000003,7.346,363064.64,4,9,2010,1,0
