,Store,Dept,Date,Weekly_Sales,IsHoliday,Type,Size,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment
20482,3,1,2010-02-05,6453.58,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20517,3,38,2010-02-05,155897.94,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20518,3,40,2010-02-05,19987.85,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20519,3,41,2010-02-05,557.58,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20520,3,42,2010-02-05,3680.66,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20521,3,44,2010-02-05,1771.82,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20522,3,45,2010-02-05,4.5,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20523,3,46,2010-02-05,6504.28,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20524,3,47,2010-02-05,10.0,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20525,3,51,2010-02-05,7.74,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20526,3,52,2010-02-05,884.73,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20527,3,54,2010-02-05,133.0,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20528,3,55,2010-02-05,9326.41,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20529,3,56,2010-02-05,783.32,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20531,3,60,2010-02-05,132.0,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20532,3,67,2010-02-05,1824.2,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20533,3,71,2010-02-05,1636.73,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20534,3,72,2010-02-05,35038.89,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20535,3,74,2010-02-05,4297.26,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20536,3,79,2010-02-05,8342.99,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20537,3,81,2010-02-05,1159.71,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20538,3,82,2010-02-05,5949.29,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20539,3,85,2010-02-05,616.3,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20540,3,87,2010-02-05,1768.81,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20541,3,90,2010-02-05,1460.05,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20542,3,91,2010-02-05,166.19,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20543,3,92,2010-02-05,6805.18,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20544,3,95,2010-02-05,11771.76,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20545,3,96,2010-02-05,3217.88,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20546,3,97,2010-02-05,175.92,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20516,3,36,2010-02-05,245.0,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20515,3,35,2010-02-05,1785.0,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20530,3,59,2010-02-05,321.02,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20513,3,33,2010-02-05,4127.49,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20514,3,34,2010-02-05,6032.36,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20484,3,3,2010-02-05,4710.29,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20485,3,4,2010-02-05,8495.1,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20486,3,5,2010-02-05,15051.48,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20487,3,6,2010-02-05,2181.93,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20488,3,7,2010-02-05,8914.32,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20489,3,8,2010-02-05,9556.23,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20490,3,9,2010-02-05,4349.71,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20491,3,10,2010-02-05,11396.86,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20492,3,11,2010-02-05,4893.73,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20493,3,12,2010-02-05,2353.57,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20494,3,13,2010-02-05,11747.06,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20495,3,14,2010-02-05,4615.67,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
20496,3,16,2010-02-05,3701.57,0,B,37392,45.71,2.572,0.0,0.0,0.0,0.0,0.0,214.4248812,7.367999999999999
