,Store,Date,IsHoliday,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Total_Sales,day,month,year,Type_B,Type_C
286548,30,2010-02-05,0,39.05,2.572,0.0,0.0,0.0,0.0,0.0,210.75260530000003,8.324,465108.52,4,2,2010,0,1
286600,30,2010-02-12,1,37.77,2.548,0.0,0.0,0.0,0.0,0.0,210.8979935,8.324,497374.57,4,2,2010,0,1
286649,30,2010-02-19,0,39.75,2.5140000000000002,0.0,0.0,0.0,0.0,0.0,210.9451605,8.324,463513.26,4,2,2010,0,1
286698,30,2010-02-26,0,45.31,2.5610000000000004,0.0,0.0,0.0,0.0,0.0,210.97595730000003,8.324,472330.71,4,2,2010,0,1
286750,30,2010-03-05,0,48.61,2.625,0.0,0.0,0.0,0.0,0.0,211.0067542,8.324,472591.06999999995,4,3,2010,0,1
286800,30,2010-03-12,0,57.1,2.667,0.0,0.0,0.0,0.0,0.0,211.03755099999998,8.324,468189.92999999993,4,3,2010,0,1
286851,30,2010-03-19,0,54.68,2.72,0.0,0.0,0.0,0.0,0.0,210.8733316,8.324,445736.36,4,3,2010,0,1
286901,30,2010-03-26,0,51.66,2.7319999999999998,0.0,0.0,0.0,0.0,0.0,210.6766095,8.324,442457.35000000003,4,3,2010,0,1
286951,30,2010-04-02,0,64.12,2.719,0.0,0.0,0.0,0.0,0.0,210.4798874,8.2,457884.06,4,4,2010,0,1
287001,30,2010-04-09,0,65.74,2.77,0.0,0.0,0.0,0.0,0.0,210.2831653,8.2,454800.9600000001,4,4,2010,0,1
287053,30,2010-04-16,0,67.87,2.8080000000000003,0.0,0.0,0.0,0.0,0.0,210.1495463,8.2,471054.16000000003,4,4,2010,0,1
287103,30,2010-04-23,0,64.21,2.795,0.0,0.0,0.0,0.0,0.0,210.1000648,8.2,462454.39,4,4,2010,0,1
287153,30,2010-04-30,0,66.93,2.78,0.0,0.0,0.0,0.0,0.0,210.0505833,8.2,456140.33999999997,4,4,2010,0,1
287202,30,2010-05-07,0,70.87,2.835,0.0,0.0,0.0,0.0,0.0,210.00110180000001,8.2,457883.94000000006,4,5,2010,0,1
287251,30,2010-05-14,0,73.08,2.8539999999999996,0.0,0.0,0.0,0.0,0.0,209.9984585,8.2,461868.08999999997,4,5,2010,0,1
287298,30,2010-05-21,0,74.24,2.826,0.0,0.0,0.0,0.0,0.0,210.2768443,8.2,455751.83999999997,4,5,2010,0,1
287348,30,2010-05-28,0,80.94,2.759,0.0,0.0,0.0,0.0,0.0,210.5552301,8.2,462474.1599999999,4,5,2010,0,1
287395,30,2010-06-04,0,82.68,2.705,0.0,0.0,0.0,0.0,0.0,210.833616,8.2,458343.7,4,6,2010,0,1
287443,30,2010-06-11,0,83.51,2.668,0.0,0.0,0.0,0.0,0.0,211.1120018,8.2,445530.16000000003,4,6,2010,0,1
287491,30,2010-06-18,0,86.18,2.637,0.0,0.0,0.0,0.0,0.0,211.10965430000002,8.2,447727.52,4,6,2010,0,1
287540,30,2010-06-25,0,87.01,2.653,0.0,0.0,0.0,0.0,0.0,210.9950134,8.2,453210.24,4,6,2010,0,1
287588,30,2010-07-02,0,82.29,2.6689999999999996,0.0,0.0,0.0,0.0,0.0,210.8803726,8.099,450337.47,4,7,2010,0,1
287637,30,2010-07-09,0,81.67,2.642,0.0,0.0,0.0,0.0,0.0,210.76573169999998,8.099,436293.4,4,7,2010,0,1
287685,30,2010-07-16,0,85.61,2.623,0.0,0.0,0.0,0.0,0.0,210.7577954,8.099,438068.71,4,7,2010,0,1
287734,30,2010-07-23,0,87.17,2.608,0.0,0.0,0.0,0.0,0.0,210.8921319,8.099,440491.33,4,7,2010,0,1
287781,30,2010-07-30,0,83.59,2.64,0.0,0.0,0.0,0.0,0.0,211.0264684,8.099,437893.76,4,7,2010,0,1
287829,30,2010-08-06,0,90.3,2.627,0.0,0.0,0.0,0.0,0.0,211.16080490000002,8.099,441407.06,4,8,2010,0,1
287879,30,2010-08-13,0,89.65,2.6919999999999997,0.0,0.0,0.0,0.0,0.0,211.2951413,8.099,444160.06999999995,4,8,2010,0,1
287927,30,2010-08-20,0,89.58,2.6639999999999997,0.0,0.0,0.0,0.0,0.0,211.25965860000002,8.099,447139.8,4,8,2010,0,1
287976,30,2010-08-27,0,86.2,2.6189999999999998,0.0,0.0,0.0,0.0,0.0,211.2241759,8.099,443810.78,4,8,2010,0,1
288024,30,2010-09-03,0,82.57,2.577,0.0,0.0,0.0,0.0,0.0,211.1886931,8.099,461548.98,4,9,2010,0,1
288073,30,2010-09-10,1,79.3,2.565,0.0,0.0,0.0,0.0,0.0,211.15321040000003,8.099,455162.92,4,9,2010,0,1
288122,30,2010-09-17,0,83.03,2.582,0.0,0.0,0.0,0.0,0.0,211.1806415,8.099,462058.19,4,9,2010,0,1
288170,30,2010-09-24,0,80.79,2.6239999999999997,0.0,0.0,0.0,0.0,0.0,211.2552578,8.099,448392.17,4,9,2010,0,1
288219,30,2010-10-01,0,70.28,2.603,0.0,0.0,0.0,0.0,0.0,211.3298742,8.163,445475.29999999993,4,10,2010,0,1
288267,30,2010-10-08,0,65.76,2.633,0.0,0.0,0.0,0.0,0.0,211.4044906,8.163,462080.47,4,10,2010,0,1
288317,30,2010-10-15,0,68.61,2.72,0.0,0.0,0.0,0.0,0.0,211.4713286,8.163,453943.88999999996,4,10,2010,0,1
288366,30,2010-10-22,0,70.72,2.725,0.0,0.0,0.0,0.0,0.0,211.5187208,8.163,459631.74000000005,4,10,2010,0,1
288417,30,2010-10-29,0,67.51,2.716,0.0,0.0,0.0,0.0,0.0,211.5661131,8.163,438334.39,4,10,2010,0,1
288467,30,2010-11-05,0,58.71,2.6889999999999996,0.0,0.0,0.0,0.0,0.0,211.61350530000004,8.163,484661.87,4,11,2010,0,1
288517,30,2010-11-12,0,60.95,2.728,0.0,0.0,0.0,0.0,0.0,211.6608975,8.163,431266.63999999996,4,11,2010,0,1
288566,30,2010-11-19,0,51.71,2.7710000000000004,0.0,0.0,0.0,0.0,0.0,211.5470304,8.163,423707.69,4,11,2010,0,1
288614,30,2010-11-26,1,62.96,2.735,0.0,0.0,0.0,0.0,0.0,211.4062867,8.163,462732.36,4,11,2010,0,1
288664,30,2010-12-03,0,50.43,2.708,0.0,0.0,0.0,0.0,0.0,211.265543,8.163,407112.22000000003,4,12,2010,0,1
288715,30,2010-12-10,0,46.35,2.843,0.0,0.0,0.0,0.0,0.0,211.12479930000003,8.163,428631.9099999999,4,12,2010,0,1
288766,30,2010-12-17,0,48.63,2.8689999999999998,0.0,0.0,0.0,0.0,0.0,211.06454580000002,8.163,445332.27999999997,4,12,2010,0,1
288816,30,2010-12-24,0,51.29,2.886,0.0,0.0,0.0,0.0,0.0,211.06465989999998,8.163,519354.8799999999,4,12,2010,0,1
288867,30,2010-12-31,1,47.19,2.943,0.0,0.0,0.0,0.0,0.0,211.06477400000003,8.163,397631.02,4,12,2010,0,1
288915,30,2011-01-07,0,44.24,2.9760000000000004,0.0,0.0,0.0,0.0,0.0,211.06488810000002,8.027999999999999,451077.21,4,1,2011,0,1
288964,30,2011-01-14,0,34.14,2.983,0.0,0.0,0.0,0.0,0.0,211.1176713,8.027999999999999,465408.72,4,1,2011,0,1
289013,30,2011-01-21,0,42.72,3.016,0.0,0.0,0.0,0.0,0.0,211.48646910000002,8.027999999999999,439132.61999999994,4,1,2011,0,1
