,Store,Dept,Date,Weekly_Sales,IsHoliday,Type,Size,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment
286548,30,1,2010-02-05,10158.77,0,C,42988,39.05,2.572,0.0,0.0,0.0,0.0,0.0,210.75260530000003,8.324
286576,30,55,2010-02-05,10.0,0,C,42988,39.05,2.572,0.0,0.0,0.0,0.0,0.0,210.75260530000003,8.324
286577,30,56,2010-02-05,1.49,0,C,42988,39.05,2.572,0.0,0.0,0.0,0.0,0.0,210.75260530000003,8.324
286578,30,59,2010-02-05,277.53,0,C,42988,39.05,2.572,0.0,0.0,0.0,0.0,0.0,210.75260530000003,8.324
286579,30,60,2010-02-05,915.2,0,C,42988,39.05,2.572,0.0,0.0,0.0,0.0,0.0,210.75260530000003,8.324
286580,30,67,2010-02-05,1913.6,0,C,42988,39.05,2.572,0.0,0.0,0.0,0.0,0.0,210.75260530000003,8.324
286581,30,72,2010-02-05,79.96,0,C,42988,39.05,2.572,0.0,0.0,0.0,0.0,0.0,210.75260530000003,8.324
286582,30,74,2010-02-05,534.34,0,C,42988,39.05,2.572,0.0,0.0,0.0,0.0,0.0,210.75260530000003,8.324
286583,30,79,2010-02-05,8016.18,0,C,42988,39.05,2.572,0.0,0.0,0.0,0.0,0.0,210.75260530000003,8.324
286584,30,80,2010-02-05,7389.28,0,C,42988,39.05,2.572,0.0,0.0,0.0,0.0,0.0,210.75260530000003,8.324
286586,30,82,2010-02-05,3185.6,0,C,42988,39.05,2.572,0.0,0.0,0.0,0.0,0.0,210.75260530000003,8.324
286587,30,83,2010-02-05,1869.17,0,C,42988,39.05,2.572,0.0,0.0,0.0,0.0,0.0,210.75260530000003,8.324
286588,30,85,2010-02-05,7.7,0,C,42988,39.05,2.572,0.0,0.0,0.0,0.0,0.0,210.75260530000003,8.324
286589,30,87,2010-02-05,99.48,0,C,42988,39.05,2.572,0.0,0.0,0.0,0.0,0.0,210.75260530000003,8.324
286590,30,90,2010-02-05,39189.44,0,C,42988,39.05,2.572,0.0,0.0,0.0,0.0,0.0,210.75260530000003,8.324
286591,30,91,2010-02-05,34049.37,0,C,42988,39.05,2.572,0.0,0.0,0.0,0.0,0.0,210.75260530000003,8.324
286592,30,92,2010-02-05,61467.01,0,C,42988,39.05,2.572,0.0,0.0,0.0,0.0,0.0,210.75260530000003,8.324
286593,30,93,2010-02-05,21888.37,0,C,42988,39.05,2.572,0.0,0.0,0.0,0.0,0.0,210.75260530000003,8.324
286594,30,94,2010-02-05,24190.65,0,C,42988,39.05,2.572,0.0,0.0,0.0,0.0,0.0,210.75260530000003,8.324
286595,30,95,2010-02-05,47425.92,0,C,42988,39.05,2.572,0.0,0.0,0.0,0.0,0.0,210.75260530000003,8.324
286596,30,96,2010-02-05,16797.04,0,C,42988,39.05,2.572,0.0,0.0,0.0,0.0,0.0,210.75260530000003,8.324
286597,30,97,2010-02-05,13894.37,0,C,42988,39.05,2.572,0.0,0.0,0.0,0.0,0.0,210.75260530000003,8.324
